Latitude,Longitude,Organisation Legal Name,Activity Id,Activity/Program Name,Location Name,Location Full Address
-38.354307,144.908331,Community Information and Support Victoria Inc,4-YSIEZ3,Financial Crisis and Material Aid - Emergency Relief,Southern Peninsula Community Support & Info Centre,878 Point Nepean Road ROSEBUD VIC 3939
-37.946679,145.148456,Community Information and Support Victoria Inc,4-YSIEZ3,Financial Crisis and Material Aid - Emergency Relief,Springvale Community Aid & Advice Bureau,5 Osborne Ave Springvale VIC 3171
-37.85300716,145.1525317,Community Information and Support Victoria Inc,4-YSIEZ3,Financial Crisis and Material Aid - Emergency Relief,UnitingCare East BurwoodCentre,220 Burwood Highway Burwood East VIC 3151
-38.30799384,145.179153,Community Information and Support Victoria Inc,4-YSIEZ3,Financial Crisis and Material Aid - Emergency Relief,Western Port Community Support Inc,185 High Street Hastings VIC 3915
-37.65209103,145.0222892,Community Information and Support Victoria Inc,4-YSIEZ3,Financial Crisis and Material Aid - Emergency Relief,Whittlesea Community Connections Inc,"Shop 111, Cnr Cooper St & High St EPPING VIC 3076"
-36.12517747,144.7495144,COMMUNITY LIVING & RESPITE SERVICES INC,4-Y7CXJK,Community Development and Participation Grants,Community Living & Respite Services Inc,"26A Percy Street, ECHUCA VIC 3564"
-17.26961737,145.4733936,COMMUNITY SERVICES TABLELANDS INC.,4-YSUGBR,Financial Crisis and Material Aid - Emergency Relief,Community Services Tablelands Inc,"13A Herberton Rd, ATHERTON QLD 4883"
-26.73971773,153.1247015,COMMUNITY SOLUTIONS GROUP LTD,4-1OM31R1,Children and Parent Support Services,Community Solutions Group Ltd,"Level 2 Community Capital Centre, 100 Sportsmans Parade, BOKARINA QLD 4575"
-38.14153951,145.1279539,Community Support Frankston,4-YUJ9O8,Financial Crisis and Material Aid - Emergency Relief,COMMUNITY SUPPORT FRANKSTON INC.,35 BEACH STREET FRANKSTON VIC 3199
-31.77607,115.79239,COMMUNITYWEST INCORPORATED,4-Z2IUER,Capacity Building within Aged Care Services for the Delivery of High Quality Care,CommunityWest Incorporated,"Unit 5  3 Castlegate Way, WOODVALE WA 6026"
-35.25815376,149.0604498,COMPANION HOUSE ASSISTING SURVIVORS OF TORTURE AND TRAUMA INCORPORATED,4-YT496Y,Financial Crisis and Material Aid - Emergency Relief,Companion House Assisting Survivors of Torture and Trauma Incorporated,"41 Templeton St, COOK ACT 2614"
-37.81655218,144.9595246,CONSUMER ACTION LAW CENTRE,4-YQX73U,Financial Counselling Helpline,Consumer Action Law Centre Ltd,"Level 7, 459 Little Collins Street, MELBOURNE VIC 3000"
-26.19047722,152.6575582,COOLOOLA HUMAN SERVICES NETWORK INCORPORATED,4-103FPIP,Volunteer Management Program,Cooloola Human Services Network Incorporated,"Shop 2, 22 Barter Street, GYMPIE QLD 4570"
-23.35871102,150.5254376,CQ FINANCIAL COUNSELLING ASSOC INC,4-YB0VG6,Commonwealth Financial Counselling and Financial Capability,CQ Financial Counselling Assoc Inc,"Shop 4, 72 High Street, NORTH ROCKHAMPTON QLD 4700"
-33.91454577,151.0327917,Creating Links NSW Ltd,4-YQZEL1,Problem Gambling,Creating Links (N.S.W.) Ltd,"G/F, 58 Kitchener Parade BANKSTOWN NSW 2200"
-33.91454577,151.0327917,Creating Links NSW Ltd,4-YUR7R1,Financial Crisis and Material Aid - Emergency Relief,Creating Links (N.S.W.) Ltd,"G/F, 58 Kitchener Parade BANKSTOWN NSW 2200"
-12.17925405,136.7794433,CRISIS ACCOMMODATION GOVE INC,4-1OM7HYX,Children and Parent Support Services,Crisis Accommodation Gove (Inc),"14 Corallita Avenue, NHULUNBUY NT 0881"
-12.17925405,136.7794433,CRISIS ACCOMMODATION GOVE INC,4-YYIJAQ,Financial Crisis and Material Aid - Emergency Relief,Crisis Accommodation Gove (Inc),"14 Corallita Avenue, NHULUNBUY NT 0881"
-36.02830358,144.9615123,CUMMERAGUNJA HOUSING & DEVELOPMENT ABORIGINAL CORP,4-YYIJMX,Financial Crisis and Material Aid - Emergency Relief,Cummeragunja Housing & Development Aboriginal Corp,"10 Tongala Street, MOAMA NSW 2731"
-37.90987,145.35235,Dandenong Ranges Emergency Relief Service Inc.,4-YYIJXF,Financial Crisis and Material Aid - Emergency Relief,Head office,1632 Burwood Highway BELGRAVE VIC 3160
-12.4605245,130.8444485,DANILA DILBA BILURU BUTJI BINNILUTLUM HEALTH SERVICE ABORIGINAL CORPORATION,4-YYMEIY,Financial Crisis and Material Aid - Emergency Relief,Danila Dilba Biluru Binnilutlum Health Service Aboriginal Corporation,"32-34 Knuckey Street, DARWIN NT 0801"
-12.396171,130.903369,DARWIN COMMUNITY ARTS INCORPORATED,4-XRYUIL,Diversity and Social Cohesion,Darwin Community Arts,"16 Malak Crescent, MALAK NT 0812"
-12.399151,130.85259,Darwin Skills Development Scheme,4-YFPDR8,Financial Crisis and Material Aid - Emergency Relief,Darwin Skills Development Scheme,1 Tang Street COCONUT GROVE NT 0810
-12.38341909,130.8954753,DAWN HOUSE INC.,4-YFXC25,Financial Crisis and Material Aid - Emergency Relief,Dawn House Inc.,"""Confidential"", WULAGI NT 0812"
-37.6506965,144.920417,DIANELLA COMMUNITY HEALTH,4-YGGVLF,Financial Crisis and Material Aid - Emergency Relief,Dianella Community Health,"21-27 Hudson Cir, MEADOW HEIGHTS VIC 3048"
-37.598717,144.93688,DIANELLA COMMUNITY HEALTH,4-YGGVLF,Financial Crisis and Material Aid - Emergency Relief,Dianella Community Health Inc,"55 Craigieburn Road, CRAIGIEBURN VIC 3064"
-37.79916143,144.981594,DISABILITY SPORT AND RECREATION LIMITED,4-YB7BQB,Community Development and Participation Grants,Disability Sport and Recreation Limited,"341 George Street, FITZROY VIC 3065"
-16.458656,145.375633,Douglas Shire Community Services Association Incorporated,4-YGKWVB,Financial Crisis and Material Aid - Emergency Relief,Douglas Shire Community Services Association Ltd,20 Mill Street MOSSMAN QLD 4873
-33.33717,115.64058,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Bunbury - Bunbury Counselling,"Level 2, 123 Spencer Street BUNBURY WA 6230"
-33.35209361,115.651324,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Bunbury - Child and Parent Centre Carey Park,Eccelstone Street CAREY PARK WA 6230
-33.36296594,115.6269812,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Bunbury - Community Health WACHS,Hudson Road BUNBURY WA 6230
-33.32563625,115.6396496,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Bunbury - South West Aboriginal Medical Service,Robertson Drive BUNBURY WA 6230
-33.35655004,115.6571077,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Bunbury - Trotting Club,Donaldson Park Milligan Street BUNBURY WA 6230
-33.36177021,116.1542974,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Collie - Child Health,Wittenoom Street COLLIE WA 6225
-33.36010345,116.1567831,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Collie - Collie Family Centre,5 Forrest Street COLLIE WA 6225
-33.35246762,116.1624334,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Collie - Collie Hospital WACHS,Deakin Street COLLIE WA 6225
-33.35788,116.1538,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Collie - Collie River Valley Medical Centre,24/28 Harvey Street COLLIE WA 6225
-33.36585094,116.1408023,Down South Consulting Pty Ltd,4-11OBE97,Children and Parent Support Services,Collie - Parent and Child Centre Collie Valley,Porter Street COLLIE WA 6225
-37.80436284,144.968072,DRUMMOND STREET SERVICES INC,4-YZ6VH0,"Community Mental Health, Early Intervention for Children, Young People and their Families",Drummond Street Services Inc,"100 Drummond Street, CARLTON VIC 3053"
-38.15165604,144.3606077,DRUMMOND STREET SERVICES INC,4-YZ6VH0,"Community Mental Health, Early Intervention for Children, Young People and their Families",Drummond Street Services Inc,"131 Myers Street, GEELONG VIC 3220"
-42.89014454,147.8055902,DUNALLEY TASMAN NEIGHBOURHOOD HOUSE INC,4-1OM83Z4,Children and Parent Support Services,Dunalley Tasman Neighbourhood House Inc.,"172 Arthur Highway, DUNALLEY TAS 7177"
-32.40439881,151.7573452,DUNGOG INFORMATION & NEIGHBOURHOOD SERVICE INC,4-1M18DHR,Financial Crisis and Material Aid - Emergency Relief,Dungog Information & Neighbourhood Service Inc,"103 Dowling Street, DUNGOG NSW 2420"
-32.40439881,151.7573452,DUNGOG INFORMATION & NEIGHBOURHOOD SERVICE INC,4-YGROKI,Financial Crisis and Material Aid - Emergency Relief,Dungog Information & Neighbourhood Service Inc,"103 Dowling Street, DUNGOG NSW 2420"
-31.07945038,152.843154,DURRI ABORIGINAL CORPORATION MEDICAL SERVICE,4-YHAHWO,Financial Crisis and Material Aid - Emergency Relief,Durri Aboriginal Corporation Medical Service,"15-19 York Lane, KEMPSEY NSW 2440"
-37.80355429,144.8953702,EACH,4-YE313X,Commonwealth Financial Counselling and Financial Capability,Western Legal Community Services - Footscray,72 Buckley Street Footscray VIC 3011
-37.90029791,144.6625715,EACH,4-YE313X,Commonwealth Financial Counselling and Financial Capability,Western Legal Community Services - Werribee,8 Watton Street WERRIBEE VIC 3030
-17.35279679,145.5921698,EACHAM COMMUNITY HELP ORGANIZATION INC,4-YHQ6QJ,Financial Crisis and Material Aid - Emergency Relief,Eacham Community Help Organisation Inc.,"3 English St, MALANDA QLD 4885"
-27.7037878,153.209804,Eagleby Community Association Inc,4-1C569C4,Financial Crisis and Material Aid - Emergency Relief,Eagleby Community Centre,8-16 Cowper Avenue EAGLEBY QLD 4207
-37.81467414,145.2198087,EASTERN VOLUNTEER RESOURCE CENTRE INC,4-103FQ17,Volunteer Management Program,Eastern Volunteer Resource Centre Inc,"First Floor 1A, 36 New Street, RINGWOOD VIC 3134"
-37.81467414,145.2198087,EASTERN VOLUNTEER RESOURCE CENTRE INC,4-103GTCO,Volunteer Management Program,Eastern Volunteer Resource Centre Inc,"First Floor 1A, 36 New Street, RINGWOOD VIC 3134"
-32.01600646,115.9367471,Edmund Rice Centre Mirrabooka Incorporated,4-YYVRVC,Settlement Grants,Cannington,Patty Street CANNINGTON WA 6100
-31.87361469,115.8637098,Edmund Rice Centre Mirrabooka Incorporated,4-YYVRVC,Settlement Grants,Mirrabooka,18 Brewer Place MIRRABOOKA WA 6061
-23.522177,148.1598921,EMERALD & DISTRICT SOCIAL DEVELOPMENT ASSOCIATION INC,4-YIK16B,Financial Crisis and Material Aid - Emergency Relief,Emerald & District Social Development Ass. Inc.,"17 Yamala Street, EMERALD QLD 4720"
-22.00117137,148.0453458,EMERGENCY & LONG TERM ACCOMMODATION MORANBAH INC,4-YIK1IF,Financial Crisis and Material Aid - Emergency Relief,Emergency & Long Term Accommodation Moranbah Inc.,"9 Griffin Street, MORANBAH QLD 4744"
-37.983683,145.211459,ERMHA INC,4-Y6COQ6,Community Development and Participation Grants,Eastern Regions Mental Health Association (Ermha) Incorporated,"67 Robinson Street, DANDENONG VIC 3175"
-38.00370088,145.2491117,ERMHA INC,4-Y6COQ6,Community Development and Participation Grants,Ermha Ltd,"Level 1, 45 Assembly Drive, DANDENONG SOUTH VIC 3175"
-38.103773,145.284455,ERMHA INC,4-Y6COQ6,Community Development and Participation Grants,Life Central and Suicide Safer Communities,"12-14 Arundel Street, CRANBOURNE VIC 3977"
-33.84128,121.88805,ESPERANCE CARE SERVICES INCORPORATED,4-19YBLK0,Financial Crisis and Material Aid - Emergency Relief,Esperance Care Services Incorporated,"2 Gilpin Street, ESPERANCE WA 6450"
-35.919141,145.6536004,ETHNIC COUNCIL OF SHEPPARTON & DISTRICT INC,4-YYP697,Settlement Grants,Ethnic Council of Shepparton and District,"Cobram Community House, 43 Punt Road, COBRAM VIC 3644"
-36.3814909,145.3974887,ETHNIC COUNCIL OF SHEPPARTON & DISTRICT INC,4-YYP697,Settlement Grants,Ethnic Council of Shepparton and District Incorporated,"158 Welsford Street, SHEPPARTON VIC 3630"
-31.95377581,115.8242213,ETHNIC DISABILITY ADVOCACY CENTRE,4-Y7S5RL,Community Development and Participation Grants,Ethnic Disability Advocacy Centre,"320 ROKEBY ROAD, SUBIACO WA 6008"
-36.75023009,145.5698889,Euroa Community Education Centre Inc,4-YIS0CZ,Financial Crisis and Material Aid - Emergency Relief,Euroa Community Education Centre Inc,46-50 Binney Street Euroa VIC 3666
-35.91816544,150.0792192,EUROBODALLA SHIRE COUNCIL,4-Z2W531,Children and Parent Support Services,Eurobodalla Shire Council,"Vulcan Street, MORUYA NSW 2537"
-35.30768758,149.1334204,FAMILIES AUSTRALIA INCORPORATED,4-Z5Y9WK,Families and Communities Service Improvement Activity,Families Australia Incorporated,"Unit 3-7 National Circuit, BARTON ACT 2600"
-37.68934091,144.9524957,Family Mediation Centre,4-YSXK5V,Commonwealth Financial Counselling and Financial Capability,Family Mediation Centre - Broadmeadows,B1 1-13 The Gateway BROADMEADOWS VIC 3047
-38.144777,145.122473,Family Mediation Centre,4-YSXK5V,Commonwealth Financial Counselling and Financial Capability,Family Mediation Centre - Frankston,33 Playne Street FRANKSTON VIC 3199
-38.19338266,146.5365078,Family Mediation Centre,4-YSXK5V,Commonwealth Financial Counselling and Financial Capability,Family Mediation Centre - Traralgon,41 Grey St TRARALGON VIC 3844
-37.68934091,144.9524957,Family Mediation Centre,4-YT07O2,Commonwealth Financial Counselling and Financial Capability,Family Mediation Centre - Broadmeadows,B1 1-13 The Gateway BROADMEADOWS VIC 3047
-38.144777,145.122473,Family Mediation Centre,4-YT07O2,Commonwealth Financial Counselling and Financial Capability,Family Mediation Centre - Frankston,33 Playne Street FRANKSTON VIC 3199
-38.19338266,146.5365078,Family Mediation Centre,4-YT07O2,Commonwealth Financial Counselling and Financial Capability,Family Mediation Centre - Traralgon,41 Grey St TRARALGON VIC 3844
-38.144777,145.122473,Family Mediation Centre,4-YZST6K,"Community Mental Health, Early Intervention for Children, Young People and their Families",Family Mediation Centre - Frankston,33 Playne Street FRANKSTON VIC 3199
-27.476893,153.0177812,FAMILY RELATIONSHIP SERVICES AUSTRALIA LTD,4-1M6LUPV,Families and Communities Service Improvement Activity,Brisbane Convention and Exhibition Centre,"Merivale Street, SOUTH BRISBANE QLD 4101"
-35.31631662,149.0957017,FAMILY RELATIONSHIP SERVICES AUSTRALIA LTD,4-1M6LUPV,Families and Communities Service Improvement Activity,Family Relationship Services Australia Ltd,"31 Thesiger Court, DEAKIN ACT 2600"
-35.31631662,149.0957017,FAMILY RELATIONSHIP SERVICES AUSTRALIA LTD,4-Z646I8,Families and Communities Service Improvement Activity,Family Relationship Services Australia Ltd,"31 Thesiger Court, DEAKIN ACT 2600"
-37.81339545,144.9729362,Federation of Chinese Associations Vic Inc,4-Z2CW01,Settlement Grants,FCA Melbourne City Office,"Suite 6, Levle 4, 20 Collins St MELBOURNE VIC 3000"
-37.87482744,145.1272564,Federation of Chinese Associations Vic Inc,4-Z2CW01,Settlement Grants,MT WAVERLEY OUT POSTING SERVICE,47-49 Miller Cres MOUNT WAVERLEY VIC 3149
-37.946679,145.148456,Federation of Chinese Associations Vic Inc,4-Z2CW01,Settlement Grants,SPRINGVALE OUT POSTING SERVICE,5 Osborne Ave Springvale VIC 3171
-37.74150882,144.8002385,Federation of Chinese Associations Vic Inc,4-Z2CW01,Settlement Grants,ST ALBANS OUT POSTING SERVICE,20 Victoria Cres ST ALBANS VIC 3021
-31.95377835,115.8683978,Financial Counsellors' Association of Western Australia (Inc),4-YJ7OYK,Financial Counselling Helpline,FCAWA,33 Moore Street East Perth WA 6004
-33.8859675,151.210926,FINANCIAL RIGHTS LEGAL CENTRE INCORPORATED,4-YQWM62,Financial Counselling Helpline,Financial Rights Legal Centre Incorporated,"Level 1, 80 Cooper Street, SURRY HILLS NSW 2010"
-33.96844426,151.248191,FIRST HAND SOLUTIONS ABORIGINAL CORPORATION,4-Y6NMWA,Community Development and Participation Grants,First Hand Solutions Aboriginal Corporation,"48 Austral Street, MALABAR NSW 2036"
-16.9198838,145.7761333,FNQ VOLUNTEERS INC,4-103KAFL,Volunteer Management Program,FNQ Volunteers Inc,"Suite 10 Virginia House, 68 Abbott Street, CAIRNS QLD 4870"
-33.79640316,151.1416125,FOODBANK AUSTRALIA LIMITED,4-XTML5W,Financial Crisis and Material Aid - Food Relief,Foodbank Australia Limited,"Riverside Corporate Park, 11 Julius Avenue, NORTH RYDE NSW 2113"
-37.79883211,144.8870778,Footscray Football Club (FFC) Limited trading as SpiritWest,4-YYVRPL,Settlement Grants,Footscray Football Club Ltd trading as SpiritWest,417 Barkly Street FOOTSCRAY WEST VIC 3012
-12.443619,130.845802,FOUNDATION OF REHABILITATION WITH ABORIGINAL ALCOHOL RELATED DIFFICULTIES CORP,4-YIXLXD,Financial Crisis and Material Aid - Emergency Relief,FORWAARD,"33 Charles St, STUART PARK NT 0810"
-32.05212594,115.7547782,FREMANTLE MULTICULTURAL CENTRE INC,4-Y0W84U,Community Development and Participation Grants,Fremantle Multicultural Centre Inc,"241 High Street, FREMANTLE WA 6160"
-32.12976775,115.8532601,FREMANTLE MULTICULTURAL CENTRE INC,4-YJ6SCS,Financial Crisis and Material Aid - Emergency Relief,Cockburn,11 Wentworth Pde Success WA 6164
-32.05212594,115.7547782,FREMANTLE MULTICULTURAL CENTRE INC,4-YJ6SCS,Financial Crisis and Material Aid - Emergency Relief,Fremantle,241-243 High Street Fremantle WA 6160
-32.24232964,115.8139131,FREMANTLE MULTICULTURAL CENTRE INC,4-YJ6SCS,Financial Crisis and Material Aid - Emergency Relief,Kwinana,Lot 106 Robbos Way KWINANA TOWN CENTRE WA 6167
-32.52598,115.72024,FREMANTLE MULTICULTURAL CENTRE INC,4-YJ6SCS,Financial Crisis and Material Aid - Emergency Relief,Mandurah,63 Ormsby Terrace Mandurah WA 6210
-32.07350132,115.8137439,FREMANTLE MULTICULTURAL CENTRE INC,4-YJ6SCS,Financial Crisis and Material Aid - Emergency Relief,NLSC,188 Winterfold Road Kardinya WA 6163
-32.12976775,115.8532601,FREMANTLE MULTICULTURAL CENTRE INC,4-YZ0P81,Settlement Grants,Cockburn,11 Wentworth Pde Success WA 6164
-32.05212594,115.7547782,FREMANTLE MULTICULTURAL CENTRE INC,4-YZ0P81,Settlement Grants,Fremantle,241-243 High Street Fremantle WA 6160
-32.24232964,115.8139131,FREMANTLE MULTICULTURAL CENTRE INC,4-YZ0P81,Settlement Grants,Kwinana,Lot 106 Robbos Way KWINANA TOWN CENTRE WA 6167
-32.52598,115.72024,FREMANTLE MULTICULTURAL CENTRE INC,4-YZ0P81,Settlement Grants,Mandurah,63 Ormsby Terrace Mandurah WA 6210
-32.07350132,115.8137439,FREMANTLE MULTICULTURAL CENTRE INC,4-YZ0P81,Settlement Grants,NLSC,188 Winterfold Road Kardinya WA 6163
-27.65524267,153.0367641,FSG AUSTRALIA,4-YB5PVC,Community Development and Participation Grants,FSG Australia,"61 Sandstone Place, PARKINSON QLD 4115"
-27.93841367,153.3890694,FSG AUSTRALIA,4-YB5PVC,Community Development and Participation Grants,FSG Australia,"Ground Floor, 45b Olsen Avenue, LABRADOR QLD 4215"
-33.88673872,151.2069755,GARAGE SALE TRAIL FOUNDATION LTD,4-1PYDCUR,Community Development and Participation Grants,Garage Sale Trail Foundation Ltd,"Level 1, 116 Chalmers Street, SURRY HILLS NSW 2010"
-36.12367569,146.8878696,GATEWAY HEALTH,4-103LEWE,Community Development and Participation Grants,Gateway Community Health,"155 High St, WODONGA VIC 3690"
-36.5595558,146.7236514,GATEWAY HEALTH,4-103LEWE,Community Development and Participation Grants,Gateway Health - Myrtleford Centre,"32 Smith Street, MYRTLEFORD VIC 3737"
-36.35305073,146.3200245,GATEWAY HEALTH,4-103LEWE,Community Development and Participation Grants,Gateway Health -Wangaratta Office,"45-47 Mackay Street, WANGARATTA VIC 3677"
-36.12367569,146.8878696,GATEWAY HEALTH,4-YZQYWP,"Community Mental Health, Early Intervention for Children, Young People and their Families",Gateway Health,"155 High Street, WODONGA VIC 3690"
-36.12367569,146.8878696,GATEWAY HEALTH,4-Z015GB,Children and Parent Support Services,Gateway Health,"155 High Street, WODONGA VIC 3690"
-38.14101024,144.3480403,Geelong Ethnic Community Councils Inc,4-YJ6SLM,Financial Crisis and Material Aid - Emergency Relief,Diversitat Financial Counselling,153 Pakington St Geelong West VIC 3218
-38.14101024,144.3480403,Geelong Ethnic Community Councils Inc,4-YQZEPN,Problem Gambling,Diversitat Financial Counselling,153 Pakington St Geelong West VIC 3218
-38.09659008,144.3517781,Geelong Ethnic Community Councils Inc,4-YZ7GO5,Settlement Grants,Settlement Grants Program,"25-41 Arunga Ave, Norlane VIC 3214"
-42.87961788,147.320802,GENERAL PRACTICE TRAINING TASMANIA INC.,4-YZQ5T6,Existing and Emerging Challenges including Dementia Care,General Practice Training Tasmania Inc.,"RACT House, Level 3  179-191 Murray Street, HOBART TAS 7000"
-21.15083115,149.1837031,GEORGE STREET NEIGHBOURHOOD CENTRE ASSOCIATION INC,4-1O46AB6,Settlement Grants,George Street Neighbourhood Centre Association Inc,"4 George St, MACKAY QLD 4740"
-21.15083115,149.1837031,GEORGE STREET NEIGHBOURHOOD CENTRE ASSOCIATION INC,4-YB7Q02,Commonwealth Financial Counselling and Financial Capability,George Street Neighbourhood Centre Association Inc,"4 George St, MACKAY QLD 4740"
-28.77718319,114.605356,Geraldton Regional Community Education Centre Inc,4-Z37E1E,Children and Parent Support Services,Geraldton Regional Community Education Centre Inc,24-28 Gregory St GERALDTON WA 6530
-28.77718319,114.605356,Geraldton Regional Community Education Centre Inc,4-Z398G6,Children and Parent Support Services,Geraldton Regional Community Education Centre Inc,24-28 Gregory St GERALDTON WA 6530
-28.77677596,114.6090643,GERALDTON RESOURCE CENTRE INC,4-1C5LFJV,Financial Crisis and Material Aid - Emergency Relief,Geraldton Resource Centre,"Lotteries House, 114 Sanford Street, GERALDTON WA 6530"
-37.82791106,147.6240298,Gippsland Lakes Community Health Incorporated,4-YQIH4L,Financial Crisis and Material Aid - Emergency Relief,Bairnsdale,281 Main Street Bairnsdale VIC 3875
-37.87432459,147.998209,Gippsland Lakes Community Health Incorporated,4-YQIH4L,Financial Crisis and Material Aid - Emergency Relief,Lakes Entrance,18-26 Jemmeson Street LAKES ENTRANCE VIC 3909
-23.84329659,151.2551776,GLADSTONE REGIONAL COUNCIL,4-YQIHF2,Financial Crisis and Material Aid - Emergency Relief,Gladstone Regional Council,"Gladstone Regional Council Chambers, 101 Goondoon Street, GLADSTONE QLD 4680"
-38.14922813,144.366874,GLASTONBURY COMMUNITY SERVICES,4-Z6C4DV,Children and Parent Support Services,Glastonbury Community Services,"222 Malop Street, GEELONG VIC 3220"
-29.7452259,151.7349854,GLEN INDUSTRIES,4-Y6ZXHU,Community Development and Participation Grants,Glen Industries,"77 Grey Street, GLEN INNES NSW 2370"
-28.06401901,153.4368381,GOLD COAST YOUTH SERVICE INC,4-YQIHM7,Financial Crisis and Material Aid - Emergency Relief,Gold Coast Youth Service Inc,"15 Oak Avenue, MIAMI QLD 4220"
-33.87006433,151.1903244,GOOD BEGINNINGS AUSTRALIA LIMITED,4-Z28795,Children and Parent Support Services,Good Beginnings Australia Limited,"Suite 3.02 Level 3 Building B, 33-35 Saunders Street, PYRMONT NSW 2009"
-27.60847926,152.8952671,GOODNA YOUTH SERVICES INC,4-YQJNIW,Financial Crisis and Material Aid - Emergency Relief,Goodna Youth Services Inc,"11 William Street, GOODNA QLD 4300"
-27.18796752,151.2610068,GOONDIR ABORIGINAL & TORRES STRAIT ISLANDER CORPORATION FOR HEALTH SERVICE,4-YQJNRN,Financial Crisis and Material Aid - Emergency Relief,Goondir Aboriginal & Torres Strait Islander Corporation for Health Service,"4 Jimbour Street, DALBY QLD 4405"
-35.91694975,145.6471603,Goulburn Valley Family Care Inc,4-1OLW2WM,Children and Parent Support Services,PCP Cobram FamilyCare,49 Broadway St Cobram VIC 3644
-37.02055735,145.1376531,Goulburn Valley Family Care Inc,4-1OLW2WM,Children and Parent Support Services,PCP Seymour FamilyCare,64 High St Seymour VIC 3660
-36.37503252,145.3993235,Goulburn Valley Family Care Inc,4-1OLW2WM,Children and Parent Support Services,PCP Shepparton FamilyCare,15 Welsford Street Shepparton VIC 3630
-26.24702142,151.9427535,Graham House Community Centre Inc.,4-YQJNYN,Financial Crisis and Material Aid - Emergency Relief,Graham House Community Centre,"Lot 4, 21 Taylor Street East MURGON QLD 4605"
-33.84724765,151.0337073,Granville Multicultural Community Centre Incorporated,4-YDY6V4,Commonwealth Financial Counselling and Financial Capability,Auburn Diversity Services Inc,17 Macquarie Road AUBURN NSW 2144
-33.83738196,151.0157888,Granville Multicultural Community Centre Incorporated,4-YDY6V4,Commonwealth Financial Counselling and Financial Capability,Granville,8 Factory St Granville NSW 2142
-33.84724765,151.0337073,Granville Multicultural Community Centre Incorporated,4-YQZEUA,Problem Gambling,Auburn Diversity Services Inc,17 Macquarie Road AUBURN NSW 2144
-33.83738196,151.0157888,Granville Multicultural Community Centre Incorporated,4-YQZEUA,Problem Gambling,Granville,8 Factory St Granville NSW 2142
-32.20026754,152.5220121,GREAT LAKES COUNCIL,4-YZNAU4,Support and Information to Assist Carers Maintain their Caring Role,Great Lakes Council,"Breese Parade, FORSTER NSW 2428"
-34.99172037,117.8617076,GREAT SOUTHERN INSTITUTE OF TECHNOLOGY,4-Z098RJ,Support and Information to Assist Carers Maintain their Caring Role,Great Southern Institute of Technology,"Anson Road, ORANA WA 6330"
-27.47975542,153.0153459,GREEK ORTHODOX COMMUNITY OF ST GEORGE BRISBANE,4-YZWFMI,Support and Information to Assist Carers Maintain their Caring Role,Greek Orthodox Community of St George Brisbane,"36 Browning Street, SOUTH BRISBANE QLD 4101"
-27.32940447,153.0076837,GUIDE DOGS FOR THE BLIND ASSOCIATION OF QUEENSLAND,4-Z2LNKR,Support and Information to Assist Carers Maintain their Caring Role,Guide Dogs for the Blind Association of Queensland.,"1978 Gympie Road, BALD HILLS QLD 4036"
-33.79818489,151.1805353,GUIDE DOGS NSW/ACT,4-Y6HD49,Community Development and Participation Grants,Guide Dogs NSW/ACT,"2-4 Thomas Street, CHATSWOOD NSW 2067"
-20.40164145,118.601871,Gumala Aboriginal Corporation,4-YZWRHO,Children and Parent Support Services,South Hedland 3a Early Learning Centre,1 Weaver Place SOUTH HEDLAND WA 6722
-35.06259607,148.1016288,GUNDAGAI NEIGHBOURHOOD CENTRE INC,4-1C5RTNH,Financial Crisis and Material Aid - Emergency Relief,Gundagai Neighbourhood Centre,"245 Sheridan St, GUNDAGAI NSW 2722"
-35.06259607,148.1016288,GUNDAGAI NEIGHBOURHOOD CENTRE INC,4-1OM55N0,Children and Parent Support Services,Gundagai Neighbourhood Centre,"245 Sheridan St, GUNDAGAI NSW 2722"
-33.98216582,151.2303496,GURIWAL ABORIGINAL CORPORATION,4-YH79KX,Financial Crisis and Material Aid - Emergency Relief,Guriwal Aboriginal Corporation,"1 Elaroo Ave, LA PEROUSE NSW 2036"
-18.22584535,127.6752982,HALLS CREEK PEOPLES CHURCH INCORPORATED,4-ZPNM4C,Capital Infrastructure and Support,Halls Creek Peoples Church Incorporated,"440 Neighbour Street, HALLS CREEK WA 6770"
-33.87225412,151.204761,HAMMONDCARE,4-YZSEXB,Promote Healthy and Active Ageing,HammondCare,"Level 2, 447 Kent Street, SYDNEY NSW 2000"
-33.87225412,151.204761,HAMMONDCARE,4-Z098RR,Existing and Emerging Challenges including Dementia Care,HammondCare,"Level 2, 447 Kent Street, SYDNEY NSW 2000"
-37.9611523,145.0562836,Hanover Welfare Services Limited,4-YQNLTI,Financial Crisis and Material Aid - Emergency Relief,Cheltenham,Level 1 11 Chesterville Road Cheltenham VIC 3192
